,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,season
0,243160183,s:40~l:41~e:243160183~c:243160183,2004-11-12T00:30Z,18923,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-12T00:30Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,2458,s:40~l:41~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,True,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,43,,,,,,2005
0,243160344,s:40~l:41~e:243160344~c:243160344,2004-11-12T02:00Z,2203,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC AT BJCC ARENA'}]",2004-11-12T02:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,344,s:40~l:41~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,True,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,2217,s:40~l:41~t:2217,Fairfield,Stags,FAIR,Fairfield Stags,Fairfield,000000,ebebeb,True,2148,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png,13,,,,,,2005
0,243160235,s:40~l:41~e:243160235~c:243160235,2004-11-12T01:30Z,7000,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-12T01:30Z,0,N/A,1392,FedExForum,Memphis,TN,18400.0,True,10.0,0:10,2,3,STATUS_FINAL,post,True,Final,Final,Final,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,002447,231f20,True,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,11,2542,s:40~l:41~t:2542,Savannah State,Tigers,SAV,Savannah State Tigers,Savannah State,280298,f78f1e,True,1931,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,43,,,,,,2005
0,243162083,s:40~l:41~e:243162083~c:243162083,2004-11-11T22:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC AT SYRACUSE NY'}]",2004-11-11T22:30Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2083,s:40~l:41~t:2083,Bucknell,Bison,BUCK,Bucknell Bison,Bucknell,000060,00316e,True,2208,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,22,163,s:40~l:41~t:163,Princeton,Tigers,PRIN,Princeton Tigers,Princeton,ff9408,080808,True,1900,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,12,,,,,,2005
0,243162870,s:40~l:41~e:243162870~c:243162870,2004-11-11T23:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC AT MEMPHIS TN'}]",2004-11-11T23:30Z,0,N/A,1392,FedExForum,Memphis,TN,18400.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2870,s:40~l:41~t:2870,Purdue Fort Wayne,Mastodons,PFW,Purdue Fort Wayne Mastodons,Purdue FW,00378A,f0f0f0,True,684,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,43,2244,s:40~l:41~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,True,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,10,,,,,,2005
0,243160003,s:40~l:41~e:243160003~c:243160003,2004-11-12T00:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC AT BJCC ARENA'}]",2004-11-12T00:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:41~t:3,Birmingham-Southern,Panthers,BSC,Birmingham-Southern Panthers,Birm-Southern,000000,,True,1954,https://a.espncdn.com/i/teamlogos/ncaa/500/3.png,,2010,s:40~l:41~t:2010,Alabama A&M,Bulldogs,AAMU,Alabama A&M Bulldogs,Alabama A&M,790000,ffffff,True,2122,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,26,,,,,,2005
0,243162057,s:40~l:41~e:243162057~c:243162057,2004-11-12T01:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC AT BERKELEY CA'}]",2004-11-12T01:30Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2057,s:40~l:41~t:2057,Belmont,Bruins,BEL,Belmont Bruins,Belmont,182142,c9262d,True,2098,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,46,2608,s:40~l:41~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,d02f35,True,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,,,,,,2005
0,243160025,s:40~l:41~e:243160025~c:243160025,2004-11-12T03:30Z,8175,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-12T03:30Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877.0,True,21.0,0:21,2,3,STATUS_FINAL,post,True,Final,Final,Final,25,s:40~l:41~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,27,s:40~l:41~t:27,UC Riverside,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,,True,2082,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,9,,,,,,2005
0,243170183,s:40~l:41~e:243170183~c:243170183,2004-11-13T00:30Z,20176,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-13T00:30Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,10.0,0:10,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,163,s:40~l:41~t:163,Princeton,Tigers,PRIN,Princeton Tigers,Princeton,ff9408,080808,True,1900,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,12,,,,,,2005
0,243170003,s:40~l:41~e:243170003~c:243170003,2004-11-13T02:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-13T02:00Z,0,N/A,,,,,,,15.0,0:15,2,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:41~t:3,Birmingham-Southern,Panthers,BSC,Birmingham-Southern Panthers,Birm-Southern,000000,,True,1954,https://a.espncdn.com/i/teamlogos/ncaa/500/3.png,,344,s:40~l:41~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,True,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,,,,,,2005
0,243172458,s:40~l:41~e:243172458~c:243172458,2004-11-12T22:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2004-11-12T22:30Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2458,s:40~l:41~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,True,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,43,2083,s:40~l:41~t:2083,Bucknell,Bison,BUCK,Bucknell Bison,Bucknell,000060,00316e,True,2208,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,22,,,,,,2005
