,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,323140084,s:40~l:41~e:323140084~c:323140084,2012-11-10T01:00Z,17472,True,False,False,False,[],2012-11-10T01:00Z,0,N/A,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,84,s:40~l:41~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,7D110C,eeedeb,True,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,2803,s:40~l:41~t:2803,Bryant,Bulldogs,BRY,Bryant Bulldogs,Bryant,000000,9f8343,True,2182,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,19,,,,,,,2013
0,323140096,s:40~l:41~e:323140096~c:323140096,2012-11-10T01:30Z,17732,True,True,False,False,"[{'type': 'event', 'headline': 'BARCLAYS CENTER CLASSIC AT BROOKLYN NY'}]",2012-11-10T01:30Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,True,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,True,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,,,,,,,2013
0,323140130,s:40~l:41~e:323140130~c:323140130,2012-11-10T01:30Z,12693,True,False,False,False,[],2012-11-10T01:30Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,215,s:40~l:41~t:215,Slippery Rock,The Rock,SRU,Slippery Rock The Rock,Slippery Rock,000000,,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/215.png,,,,,,,,2013
0,323140152,s:40~l:41~e:323140152~c:323140152,2012-11-10T00:00Z,19065,True,False,False,False,[],2012-11-10T00:00Z,0,N/A,999,PNC Arena,Raleigh,NC,22900.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,152,s:40~l:41~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,True,999,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,193,s:40~l:41~t:193,Miami (OH),Redhawks,M-OH,Miami (OH) Redhawks,Miami (OH),a4000c,f0f0f0,True,2134,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,14,,,,,,,2013
0,323142305,s:40~l:41~e:323142305~c:323142305,2012-11-10T01:00Z,16300,True,False,False,False,"[{'type': 'event', 'headline': 'CBE HALL OF FAME CLASSIC'}]",2012-11-10T01:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,2546,s:40~l:41~t:2546,Southeast Missouri State,Redhawks,SEMO,Southeast Missouri State Redhawks,SE Missouri St,cc0000,080808,True,1917,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,20,,,,,,,2013
0,323140150,s:40~l:41~e:323140150~c:323140150,2012-11-10T00:00Z,9314,True,False,False,False,[],2012-11-10T00:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,2247,s:40~l:41~t:2247,Georgia State,Panthers,GAST,Georgia State Panthers,Georgia State,1e539a,ebebeb,True,2057,https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,10,,,,,,,2013
0,323140153,s:40~l:41~e:323140153~c:323140153,2012-11-10T00:00Z,16430,True,False,False,False,[],2012-11-10T00:00Z,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,2241,s:40~l:41~t:2241,Gardner-Webb,Bulldogs,GWEB,Gardner-Webb Bulldogs,Gardner-Webb,c12535,909090,True,2016,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,6,,,,,,,2013
0,323140026,s:40~l:41~e:323140026~c:323140026,2012-11-10T04:00Z,13513,True,False,False,False,[],2012-11-10T04:00Z,0,N/A,479,Pauley Pavilion presented by Wescom,Los Angeles,CA,13800.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,282,s:40~l:41~t:282,Indiana State,Sycamores,INST,Indiana State Sycamores,Indiana State,00669a,f0f0f0,True,2170,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,18,,,,,,,2013
0,323140041,s:40~l:41~e:323140041~c:323140041,2012-11-09T23:00Z,3086,True,True,False,False,"[{'type': 'event', 'headline': 'ARMED FORCES CLASSIC AT RAMSTEIN Germany'}]",2012-11-09T23:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,True,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,127,s:40~l:41~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan State,18453B,ffffff,True,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,,,,,,,2013
0,323140156,s:40~l:41~e:323140156~c:323140156,2012-11-10T01:05Z,17139,True,False,False,False,[],2012-11-10T01:05Z,0,N/A,353,CHI Health Center Omaha,Omaha,NE,17352.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,156,s:40~l:41~t:156,Creighton,Bluejays,CREI,Creighton Bluejays,Creighton,13299e,00235d,True,353,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,18,249,s:40~l:41~t:249,North Texas,Mean Green,UNT,North Texas Mean Green,North Texas,00853D,000000,True,1938,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,27,,,,,,,2013
0,323140239,s:40~l:41~e:323140239~c:323140239,2012-11-09T22:00Z,6568,True,False,False,False,[],2012-11-09T22:00Z,0,N/A,1049,Ferrell Center,Waco,TX,10284.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,239,s:40~l:41~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c,True,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,2329,s:40~l:41~t:2329,Lehigh,Mountain Hawks,LEH,Lehigh Mountain Hawks,Lehigh,6c2b2a,b69e70,True,2141,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,22,,,,,,,2013
0,323142250,s:40~l:41~e:323142250~c:323142250,2012-11-10T02:00Z,6000,True,False,False,False,[],2012-11-10T02:00Z,0,N/A,1979,McCarthey Athletic Center,Spokane,WA,6000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,True,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,253,s:40~l:41~t:253,Southern Utah,Thunderbirds,SUU,Southern Utah Thunderbirds,Southern Utah,d10000,c2c3c0,True,1960,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png,5,,,,,,,2013
0,323140052,s:40~l:41~e:323140052~c:323140052,2012-11-10T00:00Z,9070,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES vs CANCER CLASSIC'}]",2012-11-10T00:00Z,0,N/A,1952,Donald L. Tucker Center,Tallahassee,FL,11500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,52,s:40~l:41~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888,True,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,6,s:40~l:41~t:6,South Alabama,Jaguars,USA,South Alabama Jaguars,South Alabama,003E7E,,True,2193,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,27,,,,,,,2013
0,323142199,s:40~l:41~e:323142199~c:323142199,2012-11-09T17:00Z,2359,True,False,False,False,"[{'type': 'event', 'headline': 'EMU ICEMAN CLASSIC'}]",2012-11-09T17:00Z,0,N/A,2109,Convocation Center (MI),Ypsilanti,MI,8800.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2199,s:40~l:41~t:2199,Eastern Michigan,Eagles,EMU,Eastern Michigan Eagles,E Michigan,00331b,f0f0f0,True,2109,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,14,2947,s:40~l:41~t:2947,Rochester College,Warriors,RC,Rochester College Warriors,Rochester,000000,,False,,,,,,,,,,2013
0,323140248,s:40~l:41~e:323140248~c:323140248,2012-11-09T18:00Z,6108,True,False,False,False,[],2012-11-09T18:00Z,0,N/A,2126,Fertitta Center,Houston,TX,7100.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,248,s:40~l:41~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,True,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,11,50,s:40~l:41~t:50,Florida A&M,Rattlers,FAMU,Florida A&M Rattlers,Florida A&M,F89728,00843d,True,2205,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,16,,,,,,,2013
0,323140085,s:40~l:41~e:323140085~c:323140085,2012-11-09T19:00Z,507,True,False,False,False,[],2012-11-09T19:00Z,0,N/A,2129,IUPUI Gymnasium,Indianapolis,IN,1215.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,85,s:40~l:41~t:85,IUPUI,Jaguars,IUPU,IUPUI Jaguars,IUPUI,A81F30,d59f0f,True,4947,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,49,3084,s:40~l:41~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,e1c736,True,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,,,,,,,2013
0,323142415,s:40~l:41~e:323142415~c:323142415,2012-11-09T22:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'LIBERTY TAX CLASSIC AT NORFOLK VA'}]",2012-11-09T22:00Z,0,N/A,1940,Chartway Arena,Norfolk,VA,8472.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2636,s:40~l:41~t:2636,UTSA,Roadrunners,UTSA,UTSA Roadrunners,UTSA,002A5C,f47321,True,2115,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,30,2415,s:40~l:41~t:2415,Morgan St,Bears,MORG,Morgan St Bears,Morgan State,014786,f47937,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,,,,,,,2013
0,323142390,s:40~l:41~e:323142390~c:323142390,2012-11-09T22:30Z,0,True,False,False,False,[],2012-11-09T22:30Z,0,N/A,1985,Watsco Center,Coral Gables,FL,7972.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2390,s:40~l:41~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,f0f0f0,True,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,56,s:40~l:41~t:56,Stetson,Hatters,STET,Stetson Hatters,Stetson,0a5640,56854e,True,2080,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,46,,,,,,,2013
0,323142341,s:40~l:41~e:323142341~c:323142341,2012-11-09T22:45Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'BARCLAYS CENTER CLASSIC AT BROOKLYN NY'}]",2012-11-09T22:45Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,112358,s:40~l:41~t:112358,Long Island University,Sharks,LIU,Long Island University Sharks,Long Island,50c9f7,ffbf00,True,2140,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,19,2413,s:40~l:41~t:2413,Morehead State,Eagles,MORE,Morehead State Eagles,Morehead State,094FA3,fed91a,True,2174,https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,20,,,,,,,2013
0,323142429,s:40~l:41~e:323142429~c:323142429,2012-11-09T23:00Z,4429,True,False,False,False,[],2012-11-09T23:00Z,0,N/A,239,Dale F. Halton Arena,Charlotte,NC,9105.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2429,s:40~l:41~t:2429,Charlotte,49ers,CHAR,Charlotte 49ers,Charlotte,ffffff,cfab7a,True,239,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,3,2127,s:40~l:41~t:2127,Charleston Southern,Buccaneers,CHSO,Charleston Southern Buccaneers,Charleston So,2e3192,ded090,True,2187,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,6,,,,,,,2013
0,323140221,s:40~l:41~e:323140221~c:323140221,2012-11-09T23:00Z,8928,True,False,False,False,[],2012-11-09T23:00Z,0,N/A,2025,Petersen Events Center,Pittsburgh,PA,12508.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,221,s:40~l:41~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20,True,2025,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,4,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mt. St. Mary's,005596,ebebeb,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,,,,,,,2013
0,323140399,s:40~l:41~e:323140399~c:323140399,2012-11-09T23:30Z,0,True,False,False,False,[],2012-11-09T23:30Z,0,N/A,1976,SEFCU Arena,Albany,NY,4538.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,2184,s:40~l:41~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,b90b2e,True,1958,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,3,,,,,,,2013
0,323142752,s:40~l:41~e:323142752~c:323142752,2012-11-10T00:00Z,9711,True,False,False,False,[],2012-11-10T00:00Z,0,N/A,1973,Cintas Center,Cincinnati,OH,10224.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,161,s:40~l:41~t:161,Fairleigh Dickinson,Knights,FDU,Fairleigh Dickinson Knights,Fair. Dickinson,00449C,a80532,True,2076,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,19,,,,,,,2013
