Year,Executive,Team
1957,Otto Adams,FTW
2003,Danny Ainge,Boston Celtics
2004,Danny Ainge,Boston Celtics
2005,Danny Ainge,Boston Celtics
2006,Danny Ainge,Boston Celtics
2007,Danny Ainge,Boston Celtics
2008,Danny Ainge,Boston Celtics
2009,Danny Ainge,Boston Celtics
2010,Danny Ainge,Boston Celtics
2011,Danny Ainge,Boston Celtics
2012,Danny Ainge,Boston Celtics
2013,Danny Ainge,Boston Celtics
2014,Danny Ainge,Boston Celtics
2015,Danny Ainge,Boston Celtics
2016,Danny Ainge,Boston Celtics
2017,Danny Ainge,Boston Celtics
2018,Danny Ainge,Boston Celtics
2019,Danny Ainge,Boston Celtics
2020,Danny Ainge,Boston Celtics
2017,Koby Altman,Cleveland Cavaliers
2018,Koby Altman,Cleveland Cavaliers
2019,Koby Altman,Cleveland Cavaliers
2020,Koby Altman,Cleveland Cavaliers
1973,Jack Ankerson,DLC/SAA
1974,Jack Ankerson,DLC/SAA
1974,Jack Ankerson,VIR
1975,Jack Ankerson,VIR
1976,Jack Ankerson,VIR
1976,Al Attles,GSW
1977,Al Attles,GSW
1978,Al Attles,GSW
1979,Al Attles,GSW
1980,Al Attles,GSW
1981,Al Attles,GSW
1982,Al Attles,GSW
1983,Al Attles,GSW
1984,Al Attles,GSW
1985,Al Attles,GSW
1986,Al Attles,GSW
1997,Al Attles,GSW
1950,Red Auerbach,Boston Celtics
1951,Red Auerbach,Boston Celtics
1952,Red Auerbach,Boston Celtics
1953,Red Auerbach,Boston Celtics
1954,Red Auerbach,Boston Celtics
1955,Red Auerbach,Boston Celtics
1956,Red Auerbach,Boston Celtics
1957,Red Auerbach,Boston Celtics
1958,Red Auerbach,Boston Celtics
1959,Red Auerbach,Boston Celtics
1960,Red Auerbach,Boston Celtics
1961,Red Auerbach,Boston Celtics
1962,Red Auerbach,Boston Celtics
1963,Red Auerbach,Boston Celtics
1964,Red Auerbach,Boston Celtics
1965,Red Auerbach,Boston Celtics
1966,Red Auerbach,Boston Celtics
1967,Red Auerbach,Boston Celtics
1968,Red Auerbach,Boston Celtics
1969,Red Auerbach,Boston Celtics
1970,Red Auerbach,Boston Celtics
1971,Red Auerbach,Boston Celtics
1972,Red Auerbach,Boston Celtics
1973,Red Auerbach,Boston Celtics
1974,Red Auerbach,Boston Celtics
1975,Red Auerbach,Boston Celtics
1976,Red Auerbach,Boston Celtics
1977,Red Auerbach,Boston Celtics
1978,Red Auerbach,Boston Celtics
1979,Red Auerbach,Boston Celtics
1980,Red Auerbach,Boston Celtics
1981,Red Auerbach,Boston Celtics
1982,Red Auerbach,Boston Celtics
1983,Red Auerbach,Boston Celtics
