,year,value,str_startDate,daysForward,url,label,alternateLabel,detail,startDate,endDate,seasontype.label,seasontype.value,seasontype.startDate,seasontype.endDate,group
0,2001,1,20010803,5,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010803&daysForward=5,Hall of Fame Weekend,HOF,Aug 3-7,2001-08-03T07:00Z,2001-08-08T06:59Z,Preseason,1,2001-08-03T07:00Z,2001-09-05T06:59Z,20
1,2001,2,20010808,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010808&daysForward=7,Preseason Week 1,Pre Wk 1,Aug 8-14,2001-08-08T07:00Z,2001-08-15T06:59Z,Preseason,1,2001-08-03T07:00Z,2001-09-05T06:59Z,20
2,2001,3,20010815,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010815&daysForward=7,Preseason Week 2,Pre Wk 2,Aug 15-21,2001-08-15T07:00Z,2001-08-22T06:59Z,Preseason,1,2001-08-03T07:00Z,2001-09-05T06:59Z,20
3,2001,4,20010822,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010822&daysForward=7,Preseason Week 3,Pre Wk 3,Aug 22-28,2001-08-22T07:00Z,2001-08-29T06:59Z,Preseason,1,2001-08-03T07:00Z,2001-09-05T06:59Z,20
4,2001,5,20010829,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010829&daysForward=7,Preseason Week 4,Pre Wk 4,Aug 29-Sep 4,2001-08-29T07:00Z,2001-09-05T06:59Z,Preseason,1,2001-08-03T07:00Z,2001-09-05T06:59Z,20
5,2001,1,20010905,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010905&daysForward=7,Week 1,Week 1,Sep 5-11,2001-09-05T07:00Z,2001-09-12T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
6,2001,2,20010919,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010919&daysForward=7,Week 2,Week 2,Sep 19-25,2001-09-19T07:00Z,2001-09-26T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
7,2001,3,20010926,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20010926&daysForward=7,Week 3,Week 3,Sep 26-Oct 2,2001-09-26T07:00Z,2001-10-03T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
8,2001,4,20011003,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20011003&daysForward=7,Week 4,Week 4,Oct 3-9,2001-10-03T07:00Z,2001-10-10T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
9,2001,5,20011010,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20011010&daysForward=7,Week 5,Week 5,Oct 10-16,2001-10-10T07:00Z,2001-10-17T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
10,2001,6,20011017,7,http://site.api.espn.com/apis/site/v2/sports/football/nfl/scoreboard?groups=20&limit=1000&dates=20011017&daysForward=7,Week 6,Week 6,Oct 17-23,2001-10-17T07:00Z,2001-10-24T06:59Z,Regular Season,2,2001-09-05T07:00Z,2002-01-08T07:59Z,20
