,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,game_id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,status.type.altDetail,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,season
0,0,0,0,0,0,0,0,0,0,0,0,0,210106016,s:20~l:28~e:210106016~c:210106016,2001-01-06T17:30Z,63881,True,False,False,False,2001-01-06T17:30Z,1,STD,22.0,0:22,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:20~l:28~t:16,Minnesota,Vikings,MIN,Minnesota Vikings,Vikings,240A67,ffc62f,True,16.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,18,s:20~l:28~t:18,New Orleans,Saints,NO,New Orleans Saints,Saints,020202,000000,True,3493.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,,,,,,,,2001
1,1,1,1,1,1,1,1,1,1,1,1,0,210106013,s:20~l:28~e:210106013~c:210106013,2001-01-06T21:00Z,61998,True,False,False,False,2001-01-06T21:00Z,1,STD,103.0,1:43,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:20~l:28~t:13,Oakland,Raiders,OAK,Oakland Raiders,Raiders,000000,a5acaf,False,3867.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,15,s:20~l:28~t:15,Miami,Dolphins,MIA,Miami Dolphins,Dolphins,006B79,005778,True,3948.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,,,,,,,,2001
2,2,2,2,2,2,2,2,2,2,2,2,0,210107010,s:20~l:28~e:210107010~c:210107010,2001-01-07T17:30Z,68527,True,False,False,False,2001-01-07T17:30Z,1,STD,120.0,2:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,10,s:20~l:28~t:10,Tennessee,Titans,TEN,Tennessee Titans,Titans,2F95DD,4b92db,True,3810.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,33,s:20~l:28~t:33,Baltimore,Ravens,BAL,Baltimore Ravens,Ravens,2B025B,9e7c0c,True,3814.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,,,,,,,,2001
3,3,3,3,3,3,3,3,3,3,3,3,0,210107019,s:20~l:28~e:210107019~c:210107019,2001-01-07T21:00Z,78765,True,False,False,False,2001-01-07T21:00Z,1,STD,154.0,2:34,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,21,s:20~l:28~t:21,Philadelphia,Eagles,PHI,Philadelphia Eagles,Eagles,06424D,a5acaf,True,3806.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,,,,,,,,2001
4,4,4,4,4,4,4,4,4,4,4,4,0,210114019,s:20~l:28~e:210114019~c:210114019,2001-01-14T18:00Z,79310,True,False,False,False,2001-01-14T18:00Z,1,STD,39.0,0:39,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,16,s:20~l:28~t:16,Minnesota,Vikings,MIN,Minnesota Vikings,Vikings,240A67,ffc62f,True,16.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,,,,,,,,2001
5,5,5,5,5,5,5,5,5,5,5,5,0,210114013,s:20~l:28~e:210114013~c:210114013,2001-01-14T21:00Z,62784,True,False,False,False,2001-01-14T21:00Z,1,STD,16.0,0:16,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:20~l:28~t:13,Oakland,Raiders,OAK,Oakland Raiders,Raiders,000000,a5acaf,False,3867.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,33,s:20~l:28~t:33,Baltimore,Ravens,BAL,Baltimore Ravens,Ravens,2B025B,9e7c0c,True,3814.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,,,,,,,,2001
6,6,6,6,6,6,6,6,6,6,6,6,0,210128019,s:20~l:28~e:210128019~c:210128019,2001-01-28T23:18Z,71921,True,False,False,False,2001-01-28T23:18Z,1,STD,148.0,2:28,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:20~l:28~t:19,New York,Giants,NYG,New York Giants,Giants,052570,ffffff,True,3839.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,33,s:20~l:28~t:33,Baltimore,Ravens,BAL,Baltimore Ravens,Ravens,2B025B,9e7c0c,True,3814.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,,,,,,,,2001
7,7,7,7,7,7,7,7,7,7,7,7,0,210803001,s:20~l:28~e:210803001~c:210803001,2001-08-03T23:30Z,0,True,False,False,False,2001-08-03T23:30Z,1,STD,23.0,0:23,4,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:20~l:28~t:1,Atlanta,Falcons,ATL,Atlanta Falcons,Falcons,000000,000000,True,3495.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,23,s:20~l:28~t:23,Pittsburgh,Steelers,PIT,Pittsburgh Steelers,Steelers,000000,ffb612,True,3752.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,,,,,,,,2001
8,8,8,8,8,8,8,8,8,8,8,8,0,210804003,s:20~l:28~e:210804003~c:210804003,2001-08-05T00:00Z,0,True,False,False,False,2001-08-05T00:00Z,1,STD,41.0,0:41,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,3,s:20~l:28~t:3,Chicago,Bears,CHI,Chicago Bears,Bears,152644,0b162a,True,3933.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,4,s:20~l:28~t:4,Cincinnati,Bengals,CIN,Cincinnati Bengals,Bengals,FF2700,000000,True,3874.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,OT,,,,,,,2001
9,9,9,9,9,9,9,9,9,9,9,9,0,210804013,s:20~l:28~e:210804013~c:210804013,2001-08-05T01:00Z,0,True,False,False,False,2001-08-05T01:00Z,1,STD,78.0,1:18,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:20~l:28~t:13,Oakland,Raiders,OAK,Oakland Raiders,Raiders,000000,a5acaf,False,3867.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,6,s:20~l:28~t:6,Dallas,Cowboys,DAL,Dallas Cowboys,Cowboys,002E4D,b0b7bc,True,3687.0,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,,,,,,,,2001
